name,region,category,lng,lat
成都欢乐谷,成都,主题公园,103.957001,30.699978
水井街酒坊遗址,成都,人文古迹,104.085994,30.645029
龙潭水乡,成都,人文古迹,104.085365,30.686436
琴台楼,成都,人文古迹,104.314752,30.629827
升仙湖公园,成都,休闲公园,104.08248,30.708591
凤凰山公园,成都,休闲公园,104.081915,30.737749
南湖公园,双流区,休闲公园,104.048888,30.498767
府河摄影公园,成都,休闲公园,104.044633,30.720933
白河公园,双流区,休闲公园,103.901299,30.556351
棠湖公园,双流区,休闲公园,103.918503,30.57037
锦城湖,成都,休闲公园,104.044802,30.574711
沙河公园,成都,休闲公园,104.061246,30.720036
三圣花乡旅游区,成都,休闲公园,104.133733,30.572006
成都太古里,成都,休闲街区,104.083736,30.653187
麓湖水城景区,双流区,休闲街区,104.065437,30.458614
戛纳湾风情廊桥,双流区,休闲街区,104.05159,30.518818
R29幸福街区,成都,休闲街区,104.145539,30.603349
东门市井,成都,休闲街区,104.125168,30.617699
玉林四巷街道,成都,休闲街区,104.061852,30.629683
肖家河中医特色一条街,成都,休闲街区,104.043625,30.630945
锦里古街,成都,休闲街区,104.049843,30.64562
春熙路步行街,成都,休闲街区,104.077728,30.655636
宽窄巷子,成都,休闲街区,104.05364,30.663831
奎星楼街,成都,休闲街区,104.053998,30.668281
东郊记忆·成都国际时尚产业园,成都,休闲街区,104.122898,30.668785
铁像寺,成都,休闲街区,104.049146,30.557819
梵木Flying国际文创公园,成都,休闲街区,104.025603,30.606687
成都大熊猫繁育研究基地,成都,动物园,104.143768,30.736643
交子金融博物馆,成都,博物馆,104.076514,30.582661
四川大学博物馆,成都,博物馆,104.090683,30.636358
明蜀王陵博物馆,成都,博物馆,104.188968,30.643088
成都武侯祠博物馆,成都,博物馆,104.048035,30.646233
成都博物馆,成都,博物馆,104.063744,30.657284
四川博物馆,成都,博物馆,104.034094,30.660802
成都杜甫草堂博物馆,成都,博物馆,104.028526,30.660143
成都自然博物馆,成都,博物馆,104.144301,30.678206
金沙遗址博物馆,成都,博物馆,104.012482,30.681843
易园园林艺术博物馆,成都,博物馆,104.015053,30.717764
散花楼,成都,历史建筑,104.044373,30.6579
望湖楼,成都,历史建筑,104.157631,30.714151
SKP,成都,地标,104.070358,30.569019
环球中心,成都,地标,104.063049,30.569082
双子塔,成都,地标,104.064823,30.582559
成都339,成都,地标,104.094119,30.661598
科学城山地公园,双流区,城市公园,104.074425,30.405161
天府公园,双流区,城市公园,104.072754,30.432064
正兴·浅水湾国际体育公园,双流区,城市公园,104.033722,30.446291
龙港公园,双流区,城市公园,103.98156,30.510443
大源中央公园,成都,城市公园,104.049294,30.548882
成都江滩公园,成都,城市公园,104.080917,30.554253
桂溪生态公园,成都,城市公园,104.067314,30.563051
交子公园,成都,城市公园,104.072708,30.582586
天鹅湖公园,成都,城市公园,104.179665,30.587803
中心公园,双流区,城市公园,103.90593,30.588238
运动公园,双流区,城市公园,103.906891,30.592199
东湖公园,成都,城市公园,104.08831,30.616138
望江楼公园,成都,城市公园,104.09259,30.6292
塔子山公园,成都,城市公园,104.123962,30.634388
百花潭公园,成都,城市公园,104.043571,30.656136
浣花溪公园,成都,城市公园,104.029037,30.657396
清水河公园,成都,城市公园,103.986862,30.658981
成华公园,成都,城市公园,104.095154,30.667482
北湖生态公园,成都,城市公园,104.154312,30.718931
成都露天音乐公园,成都,城市公园,104.078598,30.726177
青羊宫,成都,宗教,104.042469,30.661323
文殊院,成都,宗教,104.07254,30.675341
昭觉寺,成都,宗教,104.105971,30.707961
中国西部国际博览城6展厅,成都,展览馆,104.181763,30.687693
成都新国际会展中心,成都,展览馆,104.0765,30.553921
石羊场文化广场,成都,广场,104.044792,30.609819
天府广场,成都,广场,104.065887,30.657429
成都市人民公园,成都,文化公园,104.057625,30.657028
成都市文化公园,成都,文化公园,104.043076,30.660456
二仙桥公园,成都,文化公园,104.122551,30.687084
非物质文化遗产公园,成都,文化公园,103.981186,30.708496
永安湖城市森林公园,双流区,森林公园,103.979259,30.421088
天府森林,双流区,森林公园,104.07558,30.47072
永康森林公园,成都,森林公园,103.954964,30.644579
天府芙蓉园,成都,植物园,104.132309,30.586018
蔚然花海,成都,植物园,103.985718,30.591427
成都极地海洋公园,双流区,海洋馆,104.073769,30.494156
麓山美术馆,双流区,美术馆,104.094467,30.482187
成都蓝顶美术馆,双流区,美术馆,104.153145,30.562019
现代艺术馆,成都,美术馆,104.049072,30.69187
成都市当代艺术馆,成都,美术馆,104.02073,30.7099
兴隆湖,成都,自然风光,104.035072,30.7209
白鹭湾湿地公园,成都,自然风光,104.13561,30.566815
鹿溪河生态区,双流区,自然风光,104.089984,30.397453
锦城湖,成都,自然风光,104.310372,30.558965
